Designator,Footprint,Quantity,Value,LCSC Part #
C100,C_Elec_10x10.2,1,330u,C239324
C101,CP_Elec_10x10.5,1,220u,C2886113
"C102, C103",0805,2,10u,C15850
"C200, C300",0603,2,10u,C19702
"C201, C202, C203, C204, C205, C208, C209",0402,7,100n,C1525
"C206, C207",0402,2,10p,C32949
"D100, D300",SOD_123FL,2,SMF24A-TP,C545276
D101,D_SOD-123,1,MMSZ4697T1G,C48870
D102,D_SMA,1,ss34,C8678
D103,0603,1,GREEN,C72043
D301,SOD_123FL,1,SM4007PL,C64898
D302,0603,1,LED_DOOR,C72038
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
J100,"PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",1,VCC INPUT,
J101,PinHeader_1x02_P2.54mm_Vertical,1,SWITCH ON/OFF,
J102,PinHeader_1x02_P2.54mm_Vertical,1,FAN VOLTAGE,
J200,PinSocket_1x03_P2.54mm_Vertical,1,Serial Wire Debug,
J201,SW_DIP_SPSTx05_Slide_9.78x14.88mm_W7.62mm_P2.54mm,1,CAN_ID_CONFIG,
J202,"PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",1,CAN_INPUT,
J204,PinHeader_1x02_P2.54mm_Vertical,1,JUMPER_CAN,
J300,"PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",1,DOOR_OUTPUT,
J301,"PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",1,Panic_Button,
J302,"PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",1,Door_Sensor,
K300,HF49FD0051H11F,1,HF49FD/005-1H12T,
L100,SMD_12.3X12.3mm,1,68u,C2929504
Q100,SOT-23,1,WST4045,C719073
Q300,SOT-23,1,MMBT3904,C20526
R100,1206,1,100K,C17900
"R101, R300, R301, R304",0603,4,1k,C21190
R200,0402,1,10k,C25744
R202,0805,1,120,C17437
"R302, R303, R305",0603,3,10K,C25804
S200,SWITCH_SMD,1,TS-1187A-B-A-B,C318884
"TP100, TP101, TP102, TP103, TP104, TP200, TP201, TP202, TP203, TP204, TP205, TP206, TP207, TP300, TP301, TP302, TP303",TestPoint_Pad_D2.0mm,17,TestPoint,
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U100,TO-263-5_TabPin3,1,LM2596S-5,
U200,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,
U201,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2562-E-SN,C191417
Y200,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,C13738
