Designator,Mid X,Mid Y,Rotation,Layer
C100,100.2284,-41.4528,90,top
C101,127.1778,-51.4096,90,top
C102,126.4412,-63.5762,0,top
C103,133.0452,-67.580148,90,top
C200,103.378,-86.1822,90,top
C201,108.712,-83.5406,0,top
C202,105.0798,-86.487,90,top
C203,117.2972,-86.6902,270,top
C204,113.7412,-95.9104,180,top
C205,94.5642,-91.313,270,top
C206,99.5198,-88.5444,180,top
C207,97.31,-88.5444,0,top
C208,115.189,-100.3808,90,top
C209,119.126,-93.5228,0,top
C300,134.1882,-82.2452,270,top
D100,85.5472,-40.0304,0,top
D101,90.3986,-44.1452,270,top
D102,103.2764,-60.5536,270,top
D103,137.8966,-60.8584,270,top
D300,76.073,-77.216,90,top
D301,82.0166,-79.4766,90,top
D302,85.0646,-78.6111,270,top
J100,88.1126,-35.8394,180,top
J101,72.3496,-43.1038,90,top
J102,126.36,-35.7378,90,top
J200,120.1062,-83.3124,90,top
J201,96.4438,-107.4166,90,top
J202,116.5352,-106.2228,0,top
J204,128.529,-96.4438,270,top
J300,71.5518,-75.0062,270,top
J301,139.3576,-86.7156,90,top
J302,71.6788,-60.2488,270,top
K300,88.646,-72.771,0,top
L100,113.4364,-58.5978,0,top
Q100,85.2932,-43.4594,0,top
Q300,88.4682,-78.9178,270,top
R100,85.1154,-47.3964,180,top
R101,135.763,-60.9092,90,top
R200,108.6866,-82.0928,180,top
R202,127.2032,-99.9744,0,top
R300,85.0646,-82.1436,270,top
R301,88.4428,-82.5246,180,top
R302,91.7194,-81.6102,270,top
R303,131.191,-82.296,90,top
R304,132.4356,-78.3082,0,top
R305,91.0336,-65.7352,180,top
S200,89.2156,-91.5162,180,top
U1,127.7112,-69.7738,90,top
U100,113.4618,-42.2148,90,top
U200,111.252,-89.7128,270,top
U201,119.126,-98.3742,180,top
Y200,98.3514,-85.8774,180,top
